,category,scientific_name,common_names,conservation_status
2643,Vascular Plant,Selaginella apoda,Meadow Spike-Moss,
601,Vascular Plant,Chaerophyllum procumbens,Spreading Chervil,
2396,Vascular Plant,Adlumia fungosa,Climbing Fumitory,
2663,Vascular Plant,Physalis pruinosa,Strawberry-Tomato,
585,Vascular Plant,Elodea nuttallii,Western Waterweed,
550,Fish,Percina burtoni,Blotchside Darter,Species of Concern
537,Fish,Etheostoma gutselli,Tuckasegee Darter,
534,Fish,Etheostoma camurum,Bluebreast Darter,
520,Fish,Lepomis auritus,Redbreast Sunfish,
5698,Vascular Plant,Ranunculus occidentalis,Western Buttercup,
2660,Vascular Plant,Physalis grisea,Strawberry-Tomato,
4534,Bird,Melozone crissalis,California Towhee,
3467,Vascular Plant,Erigeron tweedyi,Tweedy's Fleabane,
1338,Vascular Plant,Desmodium ochroleucum,Cream Ticktrefoil,
1311,Vascular Plant,Amorpha georgiana,Georgia Leadplant,
1707,Vascular Plant,Erythronium umbilicatum ssp. umbilicatum,Dimpled Troutlily,
1309,Vascular Plant,Albizia julibrissin,"Mimosa, Silk Tree",
1300,Vascular Plant,Lysimachia terrestris,Earth Loosestrife,
5125,Vascular Plant,Polemonium californicum,Moving Polemonium,
4801,Vascular Plant,Lasthenia platycarpha,Alkali Goldfields,
4816,Vascular Plant,Pseudobahia heermannii,Foothill Sunburst,
4790,Vascular Plant,Hieracium argutum,Southern Hawkweed,
4785,Vascular Plant,Hemizonia kelloggii,Kellogg's Tarweed,
5141,Vascular Plant,Cercis occidentalis,California Redbud,
5335,Vascular Plant,Umbellularia californica,California Laurel,
1267,Vascular Plant,Rhododendron X bakeri,Cumberland Azalea,
1265,Vascular Plant,Rhododendron vaseyi,Pink-Shell Azalea,
2015,Vascular Plant,Carex lucorum var. lucorum,Long-Beaked Sedge,
962,Vascular Plant,Symphyotrichum novae-angliae,New England Aster,
1285,Vascular Plant,Phlox maculata ssp. pyramidalis,Wild Sweetwilliam,
2010,Vascular Plant,Carex leavenworthii,Leavenworth Sedge,
1702,Vascular Plant,Uvularia puberula,Mountain Bellwort,
2043,Vascular Plant,Carex styloflexa,"Bent Sedge, Sedge",
2091,Vascular Plant,Schoenoplectus purshianus,Weakstalk Bulrush,
2090,Vascular Plant,Rhynchospora gracilenta,Slender Beaksedge,
4909,Vascular Plant,Pholistoma auritum var. auritum,Blue Fiestaflower,
4908,Vascular Plant,Phacelia vallicola,Mariposa Phacelia,
2081,Vascular Plant,Eleocharis tenuis var. verrucosa,Slender Spikerush,
4902,Vascular Plant,Phacelia racemosa,Racemose Phacelia,
4894,Vascular Plant,Phacelia heterophylla ssp. virgata,Varileaf Phacelia,
4817,Vascular Plant,Psilocarphus brevissimus var. brevissimus,Short Woollyheads,
5055,Vascular Plant,Staphylea bolanderi,Sierra Bladdernut,
5356,Vascular Plant,Zigadenus venenosus var. venenosus,Meadow Deathcamas,
1356,Vascular Plant,Lespedeza frutescens,Shrubby Lespedeza,
4865,Vascular Plant,Cryptantha nubigena,Sierra Cryptantha,
2054,Vascular Plant,Carex willdenowii,Willdenow's Sedge,
5073,Vascular Plant,Arctostaphylos nevadensis,Pinemat Manzanita,
1051,Vascular Plant,Lepidium densiflorum,Common Pepperweed,
4641,Vascular Plant,Perideridia bolanderi ssp. bolanderi,Bolander's Yampah,
1357,Vascular Plant,Lespedeza hirta,Hairy Bush-Clover,
1396,Vascular Plant,Trifolium arvense,Rabbitfoot Clover,
1767,Vascular Plant,Magnolia tripetala,Umbrella Magnolia,
5158,Vascular Plant,Lupinus albicaulis,Sicklekeel Lupine,
1168,Vascular Plant,Cornus florida,Flowering Dogwood,
1875,Vascular Plant,Tilia americana,American Basswood,
1876,Vascular Plant,Tilia americana var. americana,American Basswood,
1161,Vascular Plant,Tradescantia subaspera,Zigzag Spiderwort,
5221,Vascular Plant,Galium porrigens var. tenue,Graceful Bedstraw,
4670,Vascular Plant,Dichelostemma volubile,Twining Snakelily,
1982,Vascular Plant,Carex corrugata,Prune-Fruit Sedge,
4624,Vascular Plant,Angelica breweri,Brewer's Angelica,
1904,Vascular Plant,Nuphar lutea ssp. advena,Yellow Water-Lily,
1138,Vascular Plant,Polygonum virginianum,Virginia Knotweed,
1979,Vascular Plant,Carex communis var. communis,Fibrousroot Sedge,
5244,Vascular Plant,Scutellaria siphocampyloides,Grayleaf Skullcap,
1126,Vascular Plant,Polygonum cuspidatum,Japanese Knotweed,
4640,Vascular Plant,Perideridia bolanderi,Bolander's Yampah,
1964,Vascular Plant,Carex atlantica ssp. capillacea,Prickly Bog Sedge,
1962,Vascular Plant,Carex atlantica,Prickly Bog Sedge,
5229,Vascular Plant,Geranium robertianum,Robert's Geranium,
4609,Fish,Catostomus occidentalis,Sacramento Sucker,
5210,Vascular Plant,Centaurium venustum,Charming Centaury,
4685,Vascular Plant,Piperia transversa,Royal Rein Orchid,
5160,Vascular Plant,Lupinus andersonii,Anderson's Lupine,
1790,Vascular Plant,Hypericum hypericoides,St. Andrews Cross,
4735,Vascular Plant,Chaenactis glabriuscula var. megacephala,Yellow Pincushion,
4734,Vascular Plant,Chaenactis glabriuscula var. heterocarpha,Yellow Pincushion,
4733,Vascular Plant,Chaenactis glabriuscula var. glabriuscula,Yellow Pincushion,
1800,Vascular Plant,Linum medium var. texanum,Stiff Yellow Flax,
2004,Vascular Plant,Carex intumescens,Intumescent Sedge,
4684,Vascular Plant,Piperia colemanii,Coleman's Piperia,
1241,Vascular Plant,Gaylussacia baccata,Black Huckleberry,
5320,Vascular Plant,Penstemon roezlii,Roezl's Penstemon,
5318,Vascular Plant,Penstemon heterophyllus var. purdyi,Purdy's Penstemon,
5179,Vascular Plant,Melilotus alba,White Sweetclover,
1836,Vascular Plant,Viola cucullata,Marsh Blue Violet,
1194,Vascular Plant,Sambucus racemosa var. pubens,Red-Berried Elder,
1082,Vascular Plant,Cerastium nutans var. nutans,Nodding Chickweed,
5203,Vascular Plant,Quercus wislizeni var. wislizeni,Interior Live Oak,
5162,Vascular Plant,Lupinus argenteus var. meionanthus,Lake Tahoe Lupine,
5035,Vascular Plant,Polygonum douglasii ssp. douglasii,Douglas' Knotweed,
1961,Vascular Plant,Carex appalachica,Appalachian Sedge,
1478,Vascular Plant,Matelea obliqua,Climbing Milkvine,
