,category,scientific_name,common_names,conservation_status
1070,Vascular Plant,Amaranthus hybridus,"Amaranthus, Smooth Amaranth",
3429,Vascular Plant,Centaurea repens,"Hardheads, Russian Knapweed",
1807,Vascular Plant,Populus alba,"Silver Poplar, White Poplar",
2397,Vascular Plant,Corydalis flavula,"Corydalis, Golden Corydalis",
2735,Nonvascular Plant,Dicranodontium denudatum,Denuded Dicranodontium Moss,
4400,Vascular Plant,Arceuthobium cyanocarpum,Limber Pine Dwarf Mistletoe,
5148,Vascular Plant,Lotus argophyllus var. fremontii,Fremont's Birdsfoot Trefoil,
3496,Vascular Plant,Matricaria matricarioides,"Disc Mayweed, Pineappleweed",
1057,Vascular Plant,Rorippa nasturtium-aquaticum,"True Watercress, Watercress",
1266,Vascular Plant,Rhododendron viscosum,"Clammy Azalea, Swamp Azalea",
4221,Vascular Plant,Elymus glaucus,"Blue Wild Rye, Blue Wildrye",
2906,Nonvascular Plant,Sematophyllum marylandicum,Maryland Sematophyllum Moss,
1255,Vascular Plant,Rhododendron arborescens,"Smooth Azalea, Sweet Azalea",
1390,Vascular Plant,Stylosanthes biflora,"Pencil Flower, Pencilflower",
5082,Vascular Plant,Pleuricospora fimbriolata,"Fringed Pinesap, Sierra Sap",
1863,Vascular Plant,Helianthemum canadense,"Canada Frostweed, Frostweed",
3267,Amphibian,Rana catesbeiana,"American Bullfrog, Bullfrog",
845,Vascular Plant,Helianthus strumosus,Paleleaf Woodland Sunflower,
2845,Nonvascular Plant,Fontinalis novae-angliae,New England Fontinalis Moss,
1281,Vascular Plant,Phlox divaricata,"Blue Phlox, Wild Blue Phlox",
2073,Vascular Plant,Cyperus setigerus,Thin-Fruited Umbrella Sedge,
3027,Mammal,Mustela erminea,"Ermine, Short Tailed Weasel",
1410,Vascular Plant,Wisteria frutescens,"American Wisteria, Wisteria",
2780,Nonvascular Plant,Schistidium rivulare,Streamside Schistidium Moss,
3022,Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",
937,Vascular Plant,Solidago gigantea,"A Goldenrod, Tall Goldenrod",
4553,Bird,Setophaga nigrescens,Black-Throated Gray Warbler,
2218,Vascular Plant,Eleusine indica,"India Goosegrass, Wiregrass",
5797,Vascular Plant,Lithophragma affine,San Francisco Woodland-Star,
2215,Vascular Plant,Echinochloa colona,"Barnyard Grass, Jungle-Rice",
3281,Fish,Oncorhynchus clarkii bouvieri,Yellowstone Cutthroat Trout,
5425,Vascular Plant,Epilobium obcordatum,"Rockfringe, Rose Willowweed",
3260,Reptile,Phrynosoma hernandesi,Greater Short-Horned Lizard,
261,Bird,Dendroica virens,Black-Throated Green Warbler,
4480,Mammal,Peromyscus boylii,"Brush Deermouse, Brush Mouse",
1684,Vascular Plant,Veronicastrum virginicum,"Culver's Root, Culver's-Root",
1680,Vascular Plant,Veronica officinalis,"Common Speedwell, Gypsy-Weed",
4579,Reptile,Coluber mormon,Western Yellow-Bellied Racer,
2484,Vascular Plant,Crataegus macrosperma,"A Hawthorn, Scarlet Hawthorn",
4004,Vascular Plant,Salix candida,"Sage Willow, Sageleaf Willow",
2389,Vascular Plant,Diphylleia cymosa,"Umbrella Leaf, Umbrella-Leaf",
2951,Nonvascular Plant,Schlotheimia rugifolia,Ruggedleaf Schlotheimia Moss,
2005,Vascular Plant,Carex jamesii,"James? Sedge, Nebraska Sedge",
2965,Nonvascular Plant,Polytrichum appalachianum,Appalachian Polytrichum Moss,
5279,Vascular Plant,Mimulus angustatus,Purplelip Pansy Monkeyflower,
1129,Vascular Plant,Polygonum hydropiperoides,"A Smartweed, Swamp Smartweed",
4604,Amphibian,Batrachoseps gregarius,Gregarius Slender Salamander,
4110,Vascular Plant,Carex petasata,"Liddon Sedge, Liddon's Sedge",
3014,Mammal,Ovis canadensis,"Bighorn Sheep, Bighorn Sheep",Species of Concern
2344,Vascular Plant,Asplenium ruta-muraria,"Wall-Rue, Wallrue Spleenwort",
868,Vascular Plant,Lactuca canadensis,"Canada Lettuce, Wild Lettuce",
2400,Vascular Plant,Dicentra canadensis,"Squirrel Corn, Squirrel-Corn",
5172,Vascular Plant,Lupinus grayi,"Gray's Lupine, Sierra Lupine",
5569,Vascular Plant,Bromus orcuttianus,"Orcutt Brome, Orcutt's Brome",
65,Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,
1169,Vascular Plant,Cornus foemina,"Stiff Dogwood, Swamp Dogwood",
1173,Vascular Plant,Hydrangea paniculata,"Hydrangea, Panicle Hydrangea",
3035,Mammal,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Species of Concern
4108,Vascular Plant,Carex paysonis,"Payson Sedge, Payson's Sedge",
3521,Vascular Plant,Senecio serra var. serra,"Tall Groundsel, Tall Ragwort",
938,Vascular Plant,Solidago glomerata,"A Goldenrod, Skunk Goldenrod",
2335,Vascular Plant,Sparganium androcladum,"Branching Bur-Reed, Bur-Reed",
1185,Vascular Plant,Melothria pendula,"Creeping Cucumber, Melonette",
736,Vascular Plant,Ambrosia trifida,"Giant Ragweed, Great Ragweed",
5296,Vascular Plant,Mimulus pulchellus,Yellowlip Pansy Monkeyflower,
2852,Nonvascular Plant,Pleurozium schreberi,Schreber's Big Red Stem Moss,
2611,Vascular Plant,Sedum sarmentosum,"Stonecrop, Stringy Stonecrop",
4595,Reptile,Crotalus oreganus oreganus,Northern Pacific Rattlesnake,
4839,Vascular Plant,Soliva sessilis,"Field Burrweed, Field Soliva",
2078,Vascular Plant,Eleocharis obtusa,"Blunt Spike-Rush, Spike-Rush",
853,Vascular Plant,Hieracium pilosella,"Mouseear, Mouse-Ear Hawkweed",
2658,Vascular Plant,Nicandra physalodes,"Apple Of Peru, Apple-Of-Peru",
1320,Vascular Plant,Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",
1553,Vascular Plant,Collinsonia canadensis,"Canada Horse-Balm, Stoneroot",
1319,Vascular Plant,Chamaecrista fasciculata,"Partridge-Pea, Prairie Senna",
3785,Vascular Plant,Symphoricarpos occidentalis,"Western Snowberry, Wolfberry",
2451,Vascular Plant,Celtis laevigata,"Smooth Hackberry, Sugarberry",
1325,Vascular Plant,Crotalaria purshii,"Pursh's Rattlebox, Rattlebox",
3635,Vascular Plant,Draba ventosa,"Wind Draba, Wind River Draba",
4091,Vascular Plant,Carex illota,"Sheep Sedge, Smallhead Sedge",
3630,Vascular Plant,Draba oligosperma,"Fewseed Draba, Glacier Draba",
1872,Vascular Plant,Malva sylvestris,"High Cheeseweed, High Mallow",
2811,Nonvascular Plant,Brachythecium acuminatum,Acuminate Brachythecium Moss,
396,Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,
694,Vascular Plant,Corallorhiza wisteriana,"Coral Root, Spring Coralroot",
682,Vascular Plant,Iris virginica var. shrevei,"Blue Flag, Southern Blueflag",
2521,Vascular Plant,Prunus munsoniana,"Munson Plum, Wild-Goose Plum",
2519,Vascular Plant,Prunus cerasus,"Sour Cherry, Sour Red Cherry",
1893,Vascular Plant,Ludwigia grandiflora,Large-Flower Primrose-Willow,
5473,Vascular Plant,Carex helleri,"Heller's Sedge, Sierra Sedge",
4077,Vascular Plant,Carex capitata,"Arctic Sedge, Capitate Sedge",
5683,Vascular Plant,Delphinium depauperatum,"Slim Larkspur, Wand Larkspur",
2748,Nonvascular Plant,Paraleucobryum longifolium,Longleaf Paraleucobryum Moss,
583,Vascular Plant,Peltandra virginica,"Arrow Arum, Green Arrow-Arum",
5039,Vascular Plant,Polygonum phytolaccifolium,"Mountain Lice, Poke Knotweed",
2747,Nonvascular Plant,Oncophorus wahlenbergii,Wahlenberg's Oncophorus Moss,
2802,Nonvascular Plant,Leptodictyum riparium,Streamside Leptodictyum Moss,
2509,Vascular Plant,Porteranthus trifoliatus,"Bowman's Root, Bowman's-Root",
2211,Vascular Plant,Digitaria filiformis,"Crabgrass, Slender Crabgrass",
1966,Vascular Plant,Carex baileyi,"Bailey Sedge, Bailey's Sedge",
5715,Vascular Plant,Cercocarpus betuloides var. betuloides,Birch-Leaf Mountain-Mahogany,
3764,Vascular Plant,Sarcobatus vermiculatus,"Black Greasewood, Greasewood",
4240,Vascular Plant,Koeleria macrantha,"Junegrass, Prairie Junegrass",
4678,Vascular Plant,Iris hartwegii ssp. hartwegii,"Hartweg's Iris, Rainbow Iris",
1844,Vascular Plant,Viola odorata,"English Violet, Sweet Violet",
933,Vascular Plant,Solidago curtisii,Mountain Decumbent Goldenrod,
2088,Vascular Plant,Rhynchospora capitellata,"Beak-Rush, Brownish Beakrush",
1084,Vascular Plant,Dianthus barbatus,"Sweet William, Sweet-William",
2094,Vascular Plant,Scirpus cyperinus,"Bulrush, Cottongrass Bulrush",
5150,Vascular Plant,Lotus humistratus,"Foothill Deervetch, Maresfat",
1620,Vascular Plant,Forsythia suspensa,"Forsythia, Weeping Forsythia",
2255,Vascular Plant,Microstegium vimineum,"Microstegium, Japanese Grass",
848,Vascular Plant,Heterotheca camporum,Lemonyellow Falsegoldenaster,
5127,Vascular Plant,Anagallis arvensis,"Pimpernel, Scarlet Pimpernel",
3169,Bird,Passerella iliaca,"Fox Sparrow, Red Fox Sparrow",
361,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,
5762,Vascular Plant,Urtica urens,"Burning Nettle, Dwarf Nettle",
1083,Vascular Plant,Dianthus armeria,"Deptford Pink, Deptford-Pink",
5617,Vascular Plant,Muhlenbergia schreberi,"Nimblewill, Nimblewill Muhly",
897,Vascular Plant,Prenanthes serpentaria,"Lion's-Foot, Rattlesnakeroot",
1495,Vascular Plant,Cephalanthus occidentalis,"Buttonbush, Common Buttonbush",
1491,Vascular Plant,Obolaria virginica,"Pennywort, Virginia Pennywort",
781,Vascular Plant,Coreopsis pubescens,"Hairy Tickseed, Star Tickseed",
983,Vascular Plant,Vernonia gigantea,"Giant Ironweed, Tall Ironweed",
393,Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,
4088,Vascular Plant,Carex gynocrates,"Bog Sedge, Northern Bog Sedge",
1516,Vascular Plant,Houstonia purpurea,"Purple Bluet, Woodland Bluets",
1077,Vascular Plant,Agrostemma githago,"Common Corncockle, Corncockle",
2120,Vascular Plant,Juncus marginatus,"Grassleaf Rush, Margined Rush",
1003,Vascular Plant,Lithospermum canescens,"Hoary Puccoon, Orange Puccoon",
4686,Vascular Plant,Platanthera leucostachys,"Bog Orchid, Sierra Bog Orchid",
4821,Vascular Plant,Raillardella argentea,"Silky Raillardella, Silvermat",
3968,Vascular Plant,Veronica americana,"American Speedwell, Brooklime",
3076,Mammal,Sorex preblei,"Malheur Shrew, Preble's Shrew",Species of Concern
1965,Vascular Plant,Carex austrocaroliniana,"A Sedge, South Carolina Sedge",
51,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",
1438,Vascular Plant,Quercus falcata,"Southern Red Oak, Spanish Oak",
1427,Vascular Plant,Corylus cornuta,"Beaked Hazel, Beaked Hazelnut",
5260,Vascular Plant,Castilleja densiflora ssp. densiflora,Denseflower Indian Paintbrush,
3715,Vascular Plant,Silene oregana,"Oregon Campion, Oregon Silene",
2676,Vascular Plant,Vitis labrusca,"Fox Grape, Northern Fox Grape",
2950,Nonvascular Plant,Orthotrichum strangulatum,Strangulate Orthotrichum Moss,
3312,Vascular Plant,Potamogeton pusillus,"Baby Pondweed, Small Pondweed",
4842,Vascular Plant,Sphaeromeria cana,"Gray Chickensage, Gray Tansey",
1941,Vascular Plant,Aristolochia serpentaria,"Snakeroot, Virginia Snakeroot",
4298,Vascular Plant,Polystichum lonchitis,"Hollyfern, Northern Hollyfern",
4082,Vascular Plant,Carex douglasii,"Douglas Sedge, Douglas' Sedge",
3723,Vascular Plant,Stellaria longipes var. longipes,"Chickweed, Longstalk Starwort",
5253,Vascular Plant,Fraxinus dipetala,"California Ash, Two-Petal Ash",
4098,Vascular Plant,Carex luzulina var. ablata,"Serrate Sedge, Woodrush Sedge",
3986,Vascular Plant,Zigadenus venenosus var. gramineus,"Deathcamas, Grassy Deathcamas",
4353,Vascular Plant,Humulus lupulus,"Common Hop, Common Hops, Hops",
5280,Vascular Plant,Mimulus bicolor,Yellow And White Monkeyflower,
4279,Vascular Plant,Scolochloa festucacea,"Common Rivergrass, Rivergrass",
5440,Vascular Plant,Juniperus communis,"Common Juniper, Dwarf Juniper",
3487,Vascular Plant,Hulsea algida,"Alpine Hulsea, Pacific Hulsea",
2785,Nonvascular Plant,Seligeria recurvata,Recurved Small Limestone Moss,
4111,Vascular Plant,Carex phaeocephala,"Dunehead Sedge, Dunhead Sedge",
2686,Nonvascular Plant,Philonotis muehlenbergii,Muehlenberg's Philonotis Moss,
1974,Vascular Plant,Carex caroliniana,"Carolina Sedge, Hirsute Sedge",
1228,Vascular Plant,Valerianella radiata,"Beaked Corn-Salad, Corn Salad",
4672,Vascular Plant,Triteleia hyacinthina,"White Brodiaea, Wild Hyacinth",
4938,Vascular Plant,Draba lemmonii var. lemmonii,"Granite Draba, Lemmon's Draba",
1576,Vascular Plant,Monarda didyma,"Bee-Balm, Oswego Tea Bee-Balm",
2536,Vascular Plant,Rosa multiflora,"Multiflora Rose, Rambler Rose",
227,Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,
4474,Mammal,Aplodontia rufa californica,Sierra Nevada Mountain Beaver,Species of Concern
403,Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",
2411,Vascular Plant,Anemone virginiana,"Thimbleweed, Virginia Anemone",
1746,Vascular Plant,Smilax rotundifolia,"Common Greenbrier, Greenbrier",
874,Vascular Plant,Lapsana communis,"Common Nipplewort, Nipplewort",
3826,Vascular Plant,Douglasia montana,Rocky Mountain Dwarf-Primrose,
2305,Vascular Plant,Setaria parviflora,"Bent Foxtail, Bristly Foxtail",
4786,Vascular Plant,Heterotheca grandiflora,"Telegraph Weed, Telegraphweed",
699,Vascular Plant,Cypripedium parviflorum var. pubescens,Greater Yellow Lady's Slipper,
3620,Vascular Plant,Draba albertina,"Arc Dome Draba, Slender Draba",
2297,Vascular Plant,Poa trivialis,"Bluegrass, Scribner Bluegrass",
2294,Vascular Plant,Poa pratensis,"Junegrass, Kentucky Bluegrass",
1037,Vascular Plant,Cardamine diphylla,"Toothwort, Two-Leaf Toothwort",
2291,Vascular Plant,Poa cuspidata,"Bluegrass, Woodland Bluegrass",
4587,Reptile,Thamnophis couchii,Sierra (Aquatic) Garter Snake,
2280,Vascular Plant,Paspalum pubiflorum var. glabrum,"Hairy-Seed Paspalum, Paspalum",
4638,Vascular Plant,Osmorhiza occidentalis,"Sweetanise, Western Sweetroot",
741,Vascular Plant,Anthemis arvensis,"Corn Camomile, Corn-Chamomile",
751,Vascular Plant,Aster tataricus,"Tartar Aster, Tartarian Aster",
4177,Vascular Plant,Agrostis idahoensis,"Idaho Bentgrass, Idaho Redtop",
5568,Vascular Plant,Bromus laevipes,"Chinook Brome, Woodland Brome",
1551,Vascular Plant,Callicarpa americana,"Beauty-Berry, French Mulberry",
3834,Vascular Plant,Astragalus canadensis var. brevidens,Shorttooth Canadian Milkvetch,
4594,Reptile,Aspidoscelis tigris munda,California (Western) Whiptail,
5482,Vascular Plant,Carex lenticularis var. impressa,"Fewrib Sedge, Lakeshore Sedge",
2367,Vascular Plant,Cheilanthes lanosa,"Hairy Lip Fern, Hairy Lipfern",
442,Amphibian,Eurycea cirrigera,Southern Two-Lined Salamander,
3938,Vascular Plant,Mimulus moschatus,"Musk Monkeyflower, Muskflower",
2032,Vascular Plant,Carex radiata,"Radiate Sedge, Stellate Sedge",
1251,Vascular Plant,Monotropsis odorata,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern
826,Vascular Plant,Gamochaeta falcata,Narrowleaf Purple Everlasting,
5726,Vascular Plant,Ivesia pygmaea,"Dwarf Ivesia, Dwarf Mousetail",
792,Vascular Plant,Elephantopus tomentosus,"Hairy Tobaccoweed, Tobaccoweed",
971,Vascular Plant,Symphyotrichum undulatum,"Wavyleaf Aster, Waxyleaf Aster",
4630,Vascular Plant,Heracleum lanatum,"Common Cowparsnip, Cow Parsnip",
846,Vascular Plant,Helianthus tuberosus,"Jerusalem Artichoke, Sunflower",
1921,Vascular Plant,Oxalis montana,"White Wood-Sorrel, Wood-Sorrel",
2869,Nonvascular Plant,Isopterygiopsis muelleriana,Mueller's Isopterygiopsis Moss,
2881,Nonvascular Plant,Bryohaplocladium virginianum,Virginia Bryohaplocladium Moss,
2872,Nonvascular Plant,Pseudotaxiphyllum elegans,Elegant Pseudotaxiphyllum Moss,
992,Vascular Plant,Lobelia inflata,"Indian Tabacco, Indian-Tobacco",
4019,Vascular Plant,Salix tweedyi,"Tweedy Willow, Tweedy's Willow",
4125,Vascular Plant,Carex subnigricans,"Black Sedge, Nearlyblack Sedge",
5452,Vascular Plant,Pseudotsuga menziesii var. menziesii,"Coast Douglas-Fir, Douglas-Fir",
4151,Vascular Plant,Juncus drummondii,"Drummond Rush, Drummond's Rush",
2195,Vascular Plant,Dichanthelium depauperatum,"Green Panic-Grass, Panic Grass",
2192,Vascular Plant,Dichanthelium boscii,"Bosc's Witchgrass, Panic Grass",
1385,Vascular Plant,Senna hebecarpa,"Tall Partridge-Pea, Wild Senna",
2476,Vascular Plant,Aruncus dioicus,"Common Goatsbeard, Oat's Beard",
5031,Vascular Plant,Eriogonum wrightii var. trachygonum,"Bastardsage, Shrubby Buckwheat",
1419,Vascular Plant,Alnus serrulata,"Brook-Side Alder, Common Alder",
5708,Vascular Plant,Ceanothus integerrimus,"Deerbrush, Deerbrush Ceanothus",
4535,Bird,Zonotrichia leucophrys gambelii,Gambel's White-Crowned Sparrow,
4536,Bird,Zonotrichia leucophrys oriantha,Mountain White-Crowned Sparrow,
4283,Vascular Plant,Sporobolus airoides,"Alkali Sacaton, Alkali-Sacaton",
1488,Vascular Plant,Gentiana saponaria,"Soap Gentian, Soapwort Gentian",
3733,Vascular Plant,Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",
4278,Vascular Plant,Schizachne purpurascens,"False Melic, False Melic Grass",
2647,Vascular Plant,Cuscuta compacta,"Bracted Dodder, Sessile Dodder",
1494,Vascular Plant,Spigelia marilandica,"Indian Pink, Woodland Pinkroot",
2508,Vascular Plant,Porteranthus stipulatus,"American Ipecac, Indian Physic",
4288,Vascular Plant,Trisetum wolfii,"Wolf Trisetum, Wolf's Trisetum",
4551,Bird,Setophaga coronata coronata,Myrtle Warbler (Yellow-Rumped),
458,Amphibian,Plethodon serratus,Southern Red-Backed Salamander,
3662,Vascular Plant,Subularia aquatica,"American Awlwort, Waterawlwort",
4402,Vascular Plant,Toxicodendron rydbergii,"Poison Ivy, Western Poison Ivy",
5817,Vascular Plant,Nicotiana attenuata,"Coyote Tabacco, Coyote Tobacco",
2355,Vascular Plant,Dryopteris goldiana,"Goldie Woodfern, Goldie's Fern",
3441,Vascular Plant,Crepis atribarba,"Hawksbeard, Slender Hawksbeard",
3421,Vascular Plant,Artemisia tridentata var. tridentata,"Basin Sagebrush, Big Sagebrush",
1103,Vascular Plant,Stellaria alsine,"Chickweed, Trailing Stitchwort",
3529,Vascular Plant,Solidago nana,"Baby Goldenrod, Gray Goldenrod",
1075,Vascular Plant,Chenopodium murale,"Nettle-Leaf Goosefoot, Pigweed",
2284,Vascular Plant,Phleum pratense,"Common Timothy, Meadow Timothy",
3568,Vascular Plant,Porterella carnosula,"Fleshy Porterella, Porterplant",
936,Vascular Plant,Solidago flexicaulis,"A Goldenrod, Zig-Zag Goldenrod",
4488,Mammal,Callospermophilus lateralis,Golden-Mantled Ground Squirrel,
3599,Vascular Plant,Alyssum desertorum,"Desert Alyssum, Desert Madwort",
2253,Vascular Plant,Lolium pratense,"Meadow Fescue, Meadow Ryegrass",
2232,Vascular Plant,Eragrostis spectabilis,"Purple Love-Grass, Tumblegrass",
1314,Vascular Plant,Apios americana,"American Groundnut, Ground-Nut",
5105,Vascular Plant,Ipomopsis aggregata,"Scarlet Gilia, Skyrocket Gilia",
2465,Vascular Plant,Agrimonia pubescens,"Hairy Agrimony, Soft Groovebur",
3392,Vascular Plant,Antennaria dimorpha,"Low Everlasting, Low Pussytoes",
3769,Vascular Plant,Parnassia parviflora,Smallflower Grass Of Parnassus,
1489,Vascular Plant,Gentiana villosa,"Hairy Gentian, Striped Gentian",
3067,Mammal,Spermophilus lateralis,Golden-Mantled Ground Squirrel,
3148,Bird,Perdix perdix,"Gray Partridge, Grey Partridge",
1673,Vascular Plant,Plantago pusilla,"Dwarf Plantain, Small Plantain",
5604,Vascular Plant,Hordeum murinum ssp. leporinum,"Lepor Barley, Leporinum Barley",
892,Vascular Plant,Polymnia canadensis,"Leaf-Cup, White-Flower Leafcup",
1693,Vascular Plant,Verbena simplex,"Narrow-Leaved Vervain, Vervain",
2111,Vascular Plant,Juncus coriaceus,"Coriaceous Rush, Leathery Rush",
4750,Vascular Plant,Erigeron algidus,"Sierra Daisy, Stalked Fleabane",
4204,Vascular Plant,Calamagrostis canadensis,"Bluejoint, Bluejoint Reedgrass",
1729,Vascular Plant,Trillium erectum,"Ill-Scent Trillium, Wake Robin",
2614,Vascular Plant,Sedum ternatum,"Wild Stonecrop, Wood Stonecrop",
3043,Mammal,Myotis thysanodes,"Fringed Myotis, Fringed Myotis",Species of Concern
5587,Vascular Plant,Elymus multisetus,"Big Squirreltail, Big Wild Rye",
3917,Vascular Plant,Castilleja crista-galli,Mountainside Indian Paintbrush,
1754,Vascular Plant,Lycopodium clavatum,"Running Clubmoss, Running Pine",
4768,Vascular Plant,Erigeron vagus,"Loose Daisy, Rambling Fleabane",
5502,Vascular Plant,Carex whitneyi,"Whitney Sedge, Whitney's Sedge",
1645,Vascular Plant,Paulownia tomentosa,"Princess Tree, Royal Paulownia",
4596,Amphibian,Anaxyrus boreas halophilus,California Toad (Western Toad),
1627,Vascular Plant,Ligustrum vulgare,"Common Privet, European Privet",
1562,Vascular Plant,Leonurus cardiaca,"Common Mother-Wort, Motherwort",
1572,Vascular Plant,Mentha suaveolens,"Apple Mint, Bigleaf Mint, Mint",
2630,Vascular Plant,Heuchera longiflora,"Alumroot, Long-Flower Alumroot",
1635,Vascular Plant,Aureolaria pedicularia,Fernleaf Yellow False Foxglove,
4910,Vascular Plant,Anelsonia eurycarpa,"Broad Pod Anelsonia, Daggerpod",
2542,Vascular Plant,Rubus argutus,"A Bramble, Highbush Blackberry",
4243,Vascular Plant,Melica bulbosa,"Bulbous Oniongrass, Oniongrass",
4603,Amphibian,Batrachoseps diabolicus,Hell Hollow Slender Salamander,
3957,Vascular Plant,Penstemon humilis,"Low Beardtongue, Low Penstemon",
5483,Vascular Plant,Carex lenticularis var. lipocarpa,"Kellogg Sedge, Kellogg's Sedge",
5355,Vascular Plant,Zigadenus paniculatus,"Foothill Deathcamas, Sand-Corn",
1599,Vascular Plant,Scutellaria incana,"Downy Skullcap, Hoary Skullcap",
3254,Bird,Strix nebulosa,"Great Gray Owl, Great Grey Owl",
4726,Vascular Plant,Calycadenia oppositifolia,Butte County Western Rosinweed,
4230,Vascular Plant,Festuca subulata,"Bearded Fescue, Nodding Fescue",
687,Vascular Plant,Aplectrum hyemale,"Adam-And-Eve Orchid, Puttyroot",
3240,Bird,Picoides dorsalis,American Three-Toed Woodpecker,
4123,Vascular Plant,Carex simulata,"Analogue Sedge, Shortbeak Sedge",
4179,Vascular Plant,Agrostis oregonensis,"Oregon Bentgrass, Oregon Redtop",
2019,Vascular Plant,Carex misera,"Miserable Sedge, Wretched Sedge",
4387,Vascular Plant,Prunus virginiana var. melanocarpa,"Black Chokecherry, Choke Cherry",
957,Vascular Plant,Symphyotrichum divaricatum,Southern Annual Saltmarsh Aster,
2428,Vascular Plant,Ranunculus acris,"Tall Buttercup, Tall Butter-Cup",
2524,Vascular Plant,Prunus serotina,"Black Cherry, Wild Black Cherry",
2254,Vascular Plant,Melica mutica,"Narrow Melic Grass, Melic Grass",
2237,Vascular Plant,Festuca subverticillata,"Nodding Fescue, Woodland Fescue",
2608,Vascular Plant,Hylotelephium telephium,"Vit-Toujours, Witch's Moneybags",
2605,Vascular Plant,Hylotelephium erythrostictum,"Garden Orpine, Garden Stonecrop",
2554,Vascular Plant,Rubus trux,"A Bramble, Truculent Blackberry",
914,Vascular Plant,Senecio anonymus,"Small's Ragwort, Yellow Ragwort",
2158,Vascular Plant,Bromus commutatus,"Common Brome Grass, Hairy Brome",
4129,Vascular Plant,Carex viridula,"Green Sedge, Little Green Sedge",
2497,Vascular Plant,Geum radiatum,"Mountain Avens, Spreading Avens",Endangered
4620,Vascular Plant,Triglochin maritima,"Arrow-Grass, Seaside Arrowgrass",
2137,Vascular Plant,Agrostis perennans,"Perenial Bentgrass, Upland Bent",
4269,Vascular Plant,Poa palustris,"Fowl Blue Grass, Fowl Bluegrass",
4471,Mammal,Lepus townsendii townsendii,Western White-Tailed Jackrabbit,
2101,Vascular Plant,Scleria oligantha,"Little-Headed Nutrush, Nut-Rush",
2368,Vascular Plant,Cheilanthes tomentosa,"Woolly Lip Fern, Woolly Lipfern",
3031,Mammal,Ursus americanus,"American Black Bear, Black Bear",
3912,Vascular Plant,Scutellaria galericulata,"Hooded Skullcap, Marsh Skullcap",
1486,Vascular Plant,Gentiana decora,"Mountain Gentian, Showy Gentian",
4767,Vascular Plant,Erigeron tener,"Slender Daisy, Slender Fleabane",
5323,Vascular Plant,Penstemon speciosus,"Prairie-Clover, Royal Penstemon",
748,Vascular Plant,Artemisia vulgaris,"Common Mugwort, Common Wormwood",
542,Fish,Etheostoma sanguifluum,"Bloodfin Darter, Spotted Darter",
457,Amphibian,Plethodon oconaluftee,Southern Appalachian Salamander,
447,Amphibian,Eurycea wilderae,Blue Ridge Two-Lined Salamander,
1324,Vascular Plant,Coronilla varia,"Common Crown-Vetch, Crown-Vetch",
3640,Vascular Plant,Euclidium syriacum,"Syria Euclidium, Syrian Mustard",
5558,Vascular Plant,Andropogon virginicus var. virginicus,"Broomsedge, Broomsedge Bluestem",
1316,Vascular Plant,Baptisia tinctoria,"Wild Indigo, Yellow Wild-Indigo",
4787,Vascular Plant,Heterotheca sessiliflora ssp. echioides,Sessileflower False Goldenaster,
412,Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",
727,Vascular Plant,Hemerocallis fulva,"Orange Daylily, Orange Day-Lily",
5675,Vascular Plant,Platystemon californicus,"California Creamcups, Creamcups",
5363,Vascular Plant,Populus balsamifera ssp. trichocarpa,"Balsam Poplar, Black Cottonwood",
4850,Vascular Plant,Wyethia mollis,"Woolly Mule-Ears, Wooly Wyethia",
3809,Vascular Plant,Vaccinium cespitosum,"Dwarf Bilberry, Dwarf Blueberry",
3088,Bird,Branta bernicla,"Brant, Brant Goose, Brent Goose",
4911,Vascular Plant,Arabidopsis thaliana,"Mouseear Cress, Mouse-Ear Cress",
5634,Vascular Plant,Polypogon maritimus,Mediterranean Rabbitsfoot Grass,
3246,Bird,Podiceps nigricollis,"Black-Necked Grebe, Eared Grebe",
3790,Vascular Plant,Valeriana dioica var. sylvatica,"Woods Valerian, Woods Valeriana",
4930,Vascular Plant,Brassica nigra,"Black Mustard, Shortpod Mustard",
4941,Vascular Plant,Hutchinsia procumbens,"Ovalpurse, Prostrate Hutchinsia",
4809,Vascular Plant,Madia gracilis,"Grassy Tarweed, Slender Tarweed",
1520,Vascular Plant,Mitchella repens,"Partridgeberry, Partridge-Berry",
3891,Vascular Plant,Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",
4977,Vascular Plant,Minuartia pusilla,"Annual Sandwort, Dwarf Sandwort",
4994,Vascular Plant,Stellaria nitens,"Shiny Chickweed, Shiny Starwort",
